var_name,value
"flow_('Plant_A_Stockton',_'pipeline',_'overground')",220000.0
"flow_('Plant_A_Stockton',_'pipeline',_'underground')",0.0
"flow_('Plant_A_Stockton',_'truck',_'overground')",0.0
"flow_('Plant_A_Stockton',_'truck',_'underground')",0.0
"flow_('Plant_B_Tracy',_'pipeline',_'overground')",180000.0
"flow_('Plant_B_Tracy',_'pipeline',_'underground')",0.0
"flow_('Plant_B_Tracy',_'truck',_'overground')",0.0
"flow_('Plant_B_Tracy',_'truck',_'underground')",0.0
"flow_('Plant_C_Merced',_'pipeline',_'overground')",300000.0
"flow_('Plant_C_Merced',_'pipeline',_'underground')",0.0
"flow_('Plant_C_Merced',_'truck',_'overground')",0.0
"flow_('Plant_C_Merced',_'truck',_'underground')",0.0
"flow_('Plant_D_Fresno',_'pipeline',_'overground')",450000.0
"flow_('Plant_D_Fresno',_'pipeline',_'underground')",0.0
"flow_('Plant_D_Fresno',_'truck',_'overground')",0.0
"flow_('Plant_D_Fresno',_'truck',_'underground')",0.0
"flow_('Plant_E_Bakersfield',_'pipeline',_'overground')",520000.0
"flow_('Plant_E_Bakersfield',_'pipeline',_'underground')",0.0
"flow_('Plant_E_Bakersfield',_'truck',_'overground')",0.0
"flow_('Plant_E_Bakersfield',_'truck',_'underground')",0.0
"select_mode_('Plant_A_Stockton',_'pipeline')",1.0
"select_mode_('Plant_A_Stockton',_'truck')",0.0
"select_mode_('Plant_B_Tracy',_'pipeline')",1.0
"select_mode_('Plant_B_Tracy',_'truck')",0.0
"select_mode_('Plant_C_Merced',_'pipeline')",1.0
"select_mode_('Plant_C_Merced',_'truck')",0.0
"select_mode_('Plant_D_Fresno',_'pipeline')",1.0
"select_mode_('Plant_D_Fresno',_'truck')",0.0
"select_mode_('Plant_E_Bakersfield',_'pipeline')",1.0
"select_mode_('Plant_E_Bakersfield',_'truck')",0.0
"select_route_('Plant_A_Stockton',_'overground')",1.0
"select_route_('Plant_A_Stockton',_'underground')",0.0
"select_route_('Plant_B_Tracy',_'overground')",1.0
"select_route_('Plant_B_Tracy',_'underground')",0.0
"select_route_('Plant_C_Merced',_'overground')",1.0
"select_route_('Plant_C_Merced',_'underground')",0.0
"select_route_('Plant_D_Fresno',_'overground')",1.0
"select_route_('Plant_D_Fresno',_'underground')",0.0
"select_route_('Plant_E_Bakersfield',_'overground')",1.0
"select_route_('Plant_E_Bakersfield',_'underground')",0.0
